,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
147,4.70,FlatbreadPre-baked,Piadina,600g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
148,2.65,Cake dough baseIn baking pan,Anna's Best,140g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
149,5.50,  Special KFlakes from rice and wheatDark chocolate,Kellogg's,375g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
150,1.50,Wholemeal oatmeal,M-Classic,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-18
151,2.30,Crispbread SESAMESesame,Wasa,200g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
152,2.30,Fine wholemeal rye crispbreadOriginal,Wasa,205g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
153,2.10,Rye wholemeal bread,Alnatura,500g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
154,2.90,  IP-SUISSENut breadSliced,Happy Bread,350g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
155,6.65,Crisp muesliWith Ovaltine,Ovomaltine,500g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
156,4.50,Crispbread classicLactose and gluten free,Wasa,240g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
157,2.65,Pizza doughRolled out and round ,Anna's Best,23cm260g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
158,5.80,Spelt Crunchy,Alnatura,750g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
159,4.95,Mini cream cutsPink with cream,unknown,288g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
160,4.20,  Corn FlakesCrunchy Corn Flakes,Kellogg's,500g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
161,3.50,  IP-SUISSEFlûtesPre-baked,M-Classic,360g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
162,2.65,Puff pastriesWith apricot filling,M-Classic,270g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
163,2.15,Cake doughRolled out &round ,You,33cm270g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
164,5.75,Cereal mixtureGranola,Sélection,400g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
165,2.30,Fine crystal sugarOrganic,Migros Bio,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-18
166,2.95,Crispbread SESAMEThin Rosemary - Extra Thin,Wasa,190g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
167,1.25,Corn Amaranth WafersWith rice and linseed,Alnatura,115g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
168,1.35,Pure Tartaric AcidReinweinstein,Alnatura,4 x 18g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
169,Regional Price,Pumpernickel,Bio,NA,"Bread, Pastries, & Breakfast",Migros,2023-05-18
170,2.70,Pizza dough,Migros Bio,260g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
171,2.50,  IP-SUISSEWholemeal flour,M-Classic,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-18
172,3.80,  IP-SUISSEOriginal spelt flour,M-Classic,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-18
173,3.50,Blossom honey liquid,M-Budget,500g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
174,3.50,Blossom honey Crystalline,M-Budget,500g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
175,3.95,Almonds donated,M-Classic,200g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
176,2.75,  ExtraJamApricots,Belle Journée,500g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
177,4.20,"  VarietyCornFlakes, Crunchy Nut, Rice Crispies, Frosties, Smacks, Cornpops, Choco krispies, Chocos",Kellogg's,8 bags205g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
178,3.80,  IP-SUISSEOriginal spelt flourWhite,M-Classic,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-18
179,2.80,  MicrocWheat slice Extra RusticaExtra rustica,M-Classic,250g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
180,4.60,Ground almonds,Migros Bio,200g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
181,2.20,Spelt flakes,Alnatura,200g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
182,Regional Price,Chocolate rollMaxi-Coco,unknown,NA,"Bread, Pastries, & Breakfast",Migros,2023-05-18
183,3.35,  IP-SUISSEButter cake doughRolled out and round ,Anna's Best,33cm300g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
184,2.90,Buckwheat flour organic,Alnatura,500g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
185,3.90,Fruit bread,M-Classic,480g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
186,3.95,Quince Jelly,Sélection,250g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
187,5.60,  Choco KrispiesCrispy roasted rice with chocolate,Kellogg's,600g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
188,6.65,Bourbon vanilla,unknown,1 piece,"Bread, Pastries, & Breakfast",Migros,2023-05-18
189,3.95,  aha!Crispy puffed riceGluten free,M-Classic,500g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
190,2.50,Organic puffed spelt,Alnatura,200g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
191,1.95,JamBlack cherry,M-Budget,450g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
192,2.90,Psyllium husks,Migros Bio,110g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
193,1.85,Light cake glaze,Patissier,125g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
194,2.10,Poudre pour poudingArôme Vanille,unknown,216g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
195,1.20,Wholemeal crispbreadSesame,M-Classic,250g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
196,1.95,  Fit & WellJamStrawberries,Belle Journée,215g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
197,2.30,  FairtradeRaw sugar from sugar caneGround,M-Classic,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-18
198,1.40,Rice cakesWith milk chocolate,Alnatura,100g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
199,4.30,Aperitif bread rollsPre-baked,M-Classic,240g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
200,3.95,Sliced almondsFlaked,M-Classic,200g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
201,2.85,Spelt Oat Crunchy sweetened with rice syrup,Alnatura,375g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
202,3.70,Butter croissantsPre-baked,Migros Bio,180g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
203,3.25,JamBlueberry,Migros Bio,350g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
204,2.10,JamPeach,You,210g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
205,4.20,Wholemeal rusk,Migros Bio,260g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
206,5.30,Berries Muesli,Alnatura,750g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
207,3.95,AlmondsPeeled,M-Classic,200g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
208,1.15,"  IP-SUISSEWhite flourIdeal for fine baked goods, light and airy breads and sauces",M-Classic,500g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
209,1.50,Organic chickpea wafers,Alnatura,100g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
210,4.95,Millet flakes,Migros Bio,500g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
211,4.50,  CrocMuesli NibblesChocolate,Farmer,500g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
212,3.95,  BioJamStrawberry,Alnatura,420g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
213,2.10,JamSour cherry,You,210g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
214,1.25,Spelt wafers,Alnatura,100g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
215,3.95,  La PerrucheUnprocessed cane sugar,Béghin Say,750g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
216,2.30,Wholemeal crispbread,Wasa,260g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
217,1.95,  Fit & WellJamApricots,Belle Journée,215g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
218,2.20,Oatmeal,Migros Bio,200g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
219,Regional Price,Lemon tarts,unknown,NA,"Bread, Pastries, & Breakfast",Migros,2023-05-18
220,3.50,"CrispbreadBuckwheat, organic",Alnavit,150g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
221,2.20,Sweet shortcrust pastryRolled out and round ,Anna's Best,33cm320g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
222,1.–,  aha!Rice and corn waffles,Migros Bio,100g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
223,4.60,Ground hazelnuts,M-Budget,400g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
224,6.50,"  aha!Crunchy muesliWith berries, gluten-free",Migros Bio,500g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
225,1.65,Gelatin leaves,Patissier,20g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
226,2.10,JamStrawberries,You,210g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
227,5.95,  Special KCrunchy cereal flakesClassic,Kellogg's,600g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
228,6.95,Crisp muesliWith Ovaltine,Ovomaltine,420g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
229,6.50,"  Honey Bsss PopsCrunchy cereal food with sugar and honey.With honey, vitamins, calcium and iron",Kellogg's,600g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
230,3.95,  BioJamRaspberry,Alnatura,420g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
231,2.80,Muesli,M-Budget,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-18
232,2.40,  FairtradeCane sugar sticks,Migros Bio,250g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
233,7.50,Blossom honeyCrystalline,Migros Bio,550g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
234,2.50,  FairtradeCane sugar,Migros Bio,600g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
235,3.85,  FrelittaSpreadBicolor,M-Classic,750g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
236,1.80,Pizza dough,M-Classic,300g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
237,3.40,Whole spelt flour,Alnatura,1kg,"Bread, Pastries, & Breakfast",Migros,2023-05-18
238,2.25,  ExtraJamFourfruit,Belle Journée,500g,"Bread, Pastries, & Breakfast",Migros,2023-05-18
